aphia_id,species,sex,spatial_scale,ices_stock,ices_area,time_period,sample_size,l25_cm,l25_se_cm,l25_ci_lower_cm,l25_ci_upper_cm,l50_cm,l50_se_cm,l50_ci_lower_cm,l50_ci_upper_cm,l75_cm,l75_se_cm,l75_ci_lower_cm,l75_ci_upper_cm,model_auc,model_tjur_r2
126436,Gadus morhua,F,Global,NA,NA,2025-2029,5996,14.77,0.49,13.99,15.77,22.44,0.22,22.04,22.93,30.1,0.34,29.47,30.82,0.84,0.31
126436,Gadus morhua,M,Global,NA,NA,2025-2029,6636,6.78,1.22,4.04,8.62,15.42,0.65,13.97,16.43,24.05,0.24,23.63,24.47,0.77,0.17
126437,Melanogrammus aeglefinus,M,Global,NA,NA,2025-2029,5640,18.2,0.23,17.64,18.61,21.99,0.17,21.6,22.29,25.78,0.17,25.46,26.1,0.89,0.45
126425,Sprattus sprattus,F,Global,NA,NA,2025-2029,3159,7.88,0.09,7.73,8.05,9.08,0.06,8.94,9.19,10.28,0.06,10.15,10.39,0.87,0.39
126425,Sprattus sprattus,M,Global,NA,NA,2025-2029,2367,6.51,0.15,6.26,6.8,8.04,0.1,7.85,8.2,9.57,0.08,9.4,9.69,0.8,0.2
127143,Pleuronectes platessa,M,Global,NA,NA,2025-2029,5815,9.45,0.33,8.77,10.01,13.17,0.19,12.78,13.57,16.9,0.13,16.67,17.13,0.8,0.23
127143,Pleuronectes platessa,F,Global,NA,NA,2025-2029,7982,13.61,0.23,13.12,13.99,17.7,0.14,17.44,17.93,21.79,0.1,21.59,21.96,0.85,0.35
127139,Limanda limanda,M,Global,NA,NA,2025-2029,1097,9.98,0.35,9.24,10.63,11.92,0.23,11.46,12.3,13.86,0.19,13.55,14.21,0.9,0.39
127139,Limanda limanda,F,Global,NA,NA,2025-2029,1714,10.03,0.41,9.1,10.84,12.77,0.26,12.17,13.23,15.51,0.21,15.07,15.92,0.9,0.37
127141,Platichthys flesus,M,Global,NA,NA,2025-2029,2800,10.34,0.57,9.39,11.53,12.85,0.41,12.17,13.61,15.35,0.27,14.9,15.78,0.9,0.23
127141,Platichthys flesus,F,Global,NA,NA,2025-2029,3164,10.48,0.63,9.23,11.55,13.47,0.48,12.53,14.31,16.47,0.36,15.73,17.06,0.94,0.22
127160,Solea solea,M,Global,NA,NA,2025-2029,770,11.53,0.55,10.45,12.33,15.5,0.36,14.81,16.11,19.46,0.43,18.71,20.29,0.81,0.32
127160,Solea solea,F,Global,NA,NA,2025-2029,837,12.82,0.65,11.68,14,17.33,0.48,16.49,18.16,21.84,0.45,20.99,22.74,0.84,0.32
126417,Clupea harengus,M,Global,NA,NA,2025-2029,6191,18.13,0.1,17.94,18.31,20.48,0.08,20.34,20.63,22.83,0.09,22.66,23,0.9,0.49
126417,Clupea harengus,F,Global,NA,NA,2025-2029,6794,18.29,0.09,18.11,18.44,20.62,0.07,20.5,20.75,22.94,0.09,22.79,23.13,0.91,0.52
127023,Scomber scombrus,F,Global,NA,NA,2025-2029,953,26.53,0.23,26.14,26.9,28.59,0.19,28.19,28.92,30.64,0.22,30.18,31.06,0.94,0.62
127023,Scomber scombrus,M,Global,NA,NA,2025-2029,884,26.73,0.26,26.2,27.21,28.67,0.2,28.25,28.99,30.6,0.21,30.21,31.05,0.94,0.62
127149,Scophthalmus maximus,M,Global,NA,NA,2025-2029,239,16.9,0.43,16.16,17.91,17.7,0.34,17.15,18.45,18.49,0.29,17.92,19.04,0.97,0.5
127149,Scophthalmus maximus,F,Global,NA,NA,2025-2029,257,17.61,0.97,15.68,19.24,19.46,0.64,18.06,20.56,21.3,0.44,20.46,22.09,0.96,0.49
126444,Trisopterus esmarkii,F,Global,NA,NA,2025-2029,1657,10.46,0.25,10.05,10.97,12.64,0.16,12.33,12.96,14.82,0.14,14.56,15.08,0.87,0.39
127136,Glyptocephalus cynoglossus,M,Global,NA,NA,2025-2029,260,18.96,1.16,16.73,21.07,24.65,0.72,23.18,25.96,30.34,0.91,28.49,32.42,0.79,0.24
127136,Glyptocephalus cynoglossus,F,Global,NA,NA,2025-2029,356,22.72,0.91,20.9,24.27,26.95,0.59,25.84,28.03,31.18,0.53,30.06,32.1,0.84,0.33
